Time,V(1),V(2),V(3),I(C1),I(L1),I(R1),I(V1)
0,0,0,0,0,0,0,0
1E-6,0.0314157198277948,0.0313843358058291,3.13840219656095E-7,3.13840219656095E-6,3.13840219656095E-6,3.13840219656122E-6,-3.1384021965614E-6
2E-6,0.062830199416763,0.0627360805692569,1.25502869471781E-6,9.41188475061716E-6,9.41188475061716E-6,9.41188475061805E-6,-9.41188475061822E-6
3E-6,0.0942421985770409,0.0940540288374234,3.13672609089285E-6,0.0000188169739617504,0.0000188169739617504,0.0000188169739617522,-0.0000188169739617529
4E-6,0.125650477216687,0.125336976772028,6.2717305374828E-6,0.0000313500444658995,0.0000313500444658995,0.0000313500444659026,-0.0000313500444659026
5E-6,0.157053795390641,0.156583722196249,0.0000109724624814104,0.0000470073194392762,0.0000470073194392762,0.0000470073194392795,-0.0000470073194392788
6E-6,0.188450913349673,0.187793064641588,0.0000175509495622583,0.0000657848708084788,0.0000657848708084788,0.0000657848708084802,-0.0000657848708084802
7E-6,0.219840591589324,0.218963805394657,0.0000263188115089377,0.0000876786194667935,0.0000876786194667935,0.0000876786194667939,-0.0000876786194667946
8E-6,0.251221590898848,0.250094747543881,0.0000375872450586052,0.000112684335496676,0.000112684335496676,0.000112684335496682,-0.000112684335496681
9E-6,0.282592672410123,0.281184696026139,0.0000516670088984452,0.0001407976383984,0.0001407976383984,0.000140797638398404,-0.000140797638398405
0.00001,0.313952597646567,0.312232457673318,0.0000688684086309321,0.000172013997324869,0.000172013997324869,0.000172013997324871,-0.000172013997324874
0.000011,0.345300128572029,0.343236841258803,0.0000895012817631894,0.000206328731322573,0.000206328731322573,0.000206328731322575,-0.000206328731322578
0.000012,0.376634027639664,0.374196657543877,0.000113874982721058,0.000243737009578688,0.000243737009578688,0.000243737009578687,-0.000243737009578693
0.000013,0.407953057840788,0.405110719324045,0.000142298367888489,0.000284233851674304,0.000284233851674304,0.000284233851674309,-0.000284233851674309
0.000014,0.439255982753716,0.435977841475278,0.000175079780672865,0.000327814127843765,0.000327814127843764,0.000327814127843778,-0.000327814127843773
0.000015,0.470541566592572,0.46679684100017,0.000212527036596877,0.000374472559240122,0.000374472559240122,0.00037447255924013,-0.000374472559240127
0.000016,0.501808574256075,0.497566537074008,0.000254947408417545,0.000424203718206681,0.000424203718206681,0.000424203718206689,-0.000424203718206694
0.000017,0.5330557713763,0.528285751090753,0.000302647611273008,0.000477002028554629,0.000477002028554629,0.000477002028554641,-0.000477002028554642
0.000018,0.564281924367409,0.558953306708941,0.000355933787857682,0.000532861765846737,0.000532861765846737,0.000532861765846748,-0.000532861765846743
0.000019,0.595485800474349,0.589568029897478,0.000415111493626394,0.000591777057687123,0.000591777057687122,0.000591777057687126,-0.000591777057687128
0.00002,0.626666167821521,0.620128748981351,0.0004804856820281,0.000653741884017055,0.000653741884017055,0.000653741884017067,-0.000653741884017067
0.000021,0.657821795461413,0.650634294687245,0.00055236068976978,0.000718750077416802,0.000718750077416802,0.000718750077416819,-0.000718750077416827
0.000022,0.688951453423191,0.681083500189055,0.00063104022211113,0.000786795323413497,0.000786795323413497,0.000786795323413514,-0.000786795323413511
0.000023,0.720053912761261,0.711475201153311,0.000716827338190631,0.000857871160795009,0.000857871160795009,0.00085787116079501,-0.000857871160795012
0.000024,0.751127945603785,0.741808235784487,0.000810024436383613,0.00093197098192982,0.000931970981929819,0.000931970981929819,-0.000931970981929833
0.000025,0.782172325201155,0.772081444870226,0.0009109332396929,0.00100908803309287,0.00100908803309287,0.00100908803309289,-0.00100908803309289
0.000026,0.813185825974418,0.802293671826444,0.00101985478117264,0.0010892154147974,0.0010892154147974,0.00108921541479741,-0.00108921541479741
0.000027,0.84416722356367,0.832443762742343,0.00113708938938591,0.0011723460821327,0.0011723460821327,0.00117234608213271,-0.00117234608213272
0.000028,0.875115294876381,0.862530566425302,0.00126293667389669,0.00125847284510784,0.00125847284510784,0.00125847284510785,-0.00125847284510786
0.000029,0.906028818135687,0.892552934445674,0.00139769551079683,0.00134758836900133,0.00134758836900132,0.00134758836900134,-0.00134758836900134
0.00003,0.936906572928623,0.922509721181457,0.00154166402826849,0.00143968517471664,0.00143968517471664,0.00143968517471665,-0.00143968517471665
0.000031,0.967747340254302,0.952399783862864,0.00169513959218286,0.00153475563914372,0.00153475563914371,0.00153475563914373,-0.00153475563914372
0.000032,0.998549902572035,0.982221982616773,0.00185841879173548,0.00163279199552622,0.00163279199552621,0.00163279199552624,-0.00163279199552624
0.000033,1.02931304384941,1.01197518051106,0.00203179742511897,0.00173378633383481,0.00173378633383481,0.00173378633383483,-0.00173378633383484
0.000034,1.06003554961027,1.04165824359881,0.00221557048523358,0.00183773060114617,0.00183773060114617,0.0018377306011462,-0.0018377306011462
0.000035,1.09071620698271,1.07127004096243,0.00241003214543637,0.00194461660202787,0.00194461660202787,0.00194461660202787,-0.00194461660202787
0.000036,1.12135380474691,1.10080944475761,0.00261547574532928,0.0020544359989291,0.00205443599892909,0.00205443599892912,-0.00205443599892911
0.000037,1.15194713338295,1.13027533025718,0.00283219377658699,0.00216718031257716,0.00216718031257715,0.00216718031257717,-0.00216718031257718
0.000038,1.18249498511862,1.15966657589483,0.00306047786882497,0.00228284092237976,0.00228284092237975,0.00228284092237978,-0.00228284092237978
0.000039,1.21299615397704,1.18898206330871,0.00330061877550828,0.00240140906683308,0.00240140906683307,0.00240140906683308,-0.00240140906683309
0.00004,1.24344943582427,1.21822067738492,0.00355290635990184,0.00252287584393558,0.00252287584393558,0.00252287584393558,-0.00252287584393558
0.000041,1.27385362841691,1.24738130630083,0.00381762958106259,0.00264723221160756,0.00264723221160755,0.00264723221160759,-0.00264723221160759
0.000042,1.30420753144948,1.27646284156832,0.00409507647987423,0.00277446898811639,0.0027744689881164,0.00277446898811642,-0.00277446898811642
0.000043,1.33450994660188,1.3054641780768,0.00438553416512499,0.00290457685250756,0.00290457685250756,0.0029045768525076,-0.00290457685250758
0.000044,1.36475967758663,1.33438421413621,0.00468928879962911,0.00303754634504122,0.00303754634504122,0.00303754634504125,-0.00303754634504125
0.000045,1.39495553019615,1.3632218515198,0.00500662558639257,0.00317336786763456,0.00317336786763456,0.00317336786763458,-0.00317336786763459
0.000046,1.42509631234988,1.39197599550678,0.00533782875482354,0.00331203168430977,0.00331203168430976,0.00331203168430978,-0.00331203168430977
0.000047,1.45518083414136,1.42064555492488,0.0056831815469883,0.00345352792164756,0.00345352792164755,0.00345352792164755,-0.00345352792164755
0.000048,1.48520790788517,1.44922944219271,0.00604296620391294,0.00359784656924643,0.00359784656924643,0.00359784656924644,-0.00359784656924644
0.000049,1.51517634816387,1.47772657336199,0.00641746395193169,0.00374497748018745,0.00374497748018744,0.00374497748018745,-0.00374497748018746
0.00005,1.54508497187474,1.50613586815969,0.00680695498908214,0.0038949103715045,0.0038949103715045,0.00389491037150451,-0.00389491037150452
0.000051,1.57493259827652,1.53445625002992,0.00721171847154817,0.00404763482466035,0.00404763482466034,0.00404763482466035,-0.00404763482466036
0.0000519999999999999,1.60471804903605,1.56268664617577,0.00763203250015096,0.0042031402860279,0.0042031402860279,0.00420314028602793,-0.00420314028602792
0.0000529999999999999,1.63444014827471,1.59082598760094,0.00806817410688869,0.00436141606737731,0.0043614160673773,0.00436141606737734,-0.00436141606737733
0.0000539999999999999,1.66409772261493,1.61887320915125,0.00852041924152552,0.00452245134636828,0.00452245134636827,0.00452245134636831,-0.00452245134636831
